가수,제목,장르,가사
박진영,어머님이 누구니 (Feat. 제시),가요 / 댄스,"넌 허리가 몇이니? 24요. 힙은? 34요. 어렸을 때부터 난 눈이 좀 달라 아무리 예뻐도 뒤에 살이 모자라면 난 눈이 안 가 긴 생머리에 바람이 불면 날아갈 것 같이 가냘픈 여자라면 난 맘이 안 가 허리는 너무 가는데 힙이 커 맞는 바지를 찾기 너무 힘들어 oh Yeah Shake that booty that booty booty Shake that booty that booty booty 앞에서 바라보면 너무 착한데 뒤에서 바라보면 미치겠어 oh Yeah Shake that booty that booty booty Shake that booty that booty booty 널 어쩌면 좋니 너를 어쩌면 널 어쩌면 널 어쩌면 좋니 네가 왜 이렇게 좋니 머리끝부터 발끝까지 눈을 떼질 못하잖니 어머님이 누구니 도대체 어떻게 너를 이렇게 키우셨니 Shake that booty that booty booty Shake that booty that booty booty 얼굴이 예쁘다고 여자가 아냐 마음만 예뻐서도 여자가 아냐 난 하나가 더 있어 앉아있을 땐 알 수가 없어 일어날 때까지 기다려야만 했어 난 난 그때서야 God girl! 허리는 너무 가는데 힙이 커 맞는 바지를 찾기 너무 힘들어 oh Yeah Shake that booty that booty booty Shake that booty that booty booty 앞에서 바라보면 너무 착한데 뒤에서 바라보면 미치겠어 oh Yeah Shake that booty that booty booty Shake that booty that booty booty 널 어쩌면 좋니 너를 어쩌면 널 어쩌면 널 어쩌면 좋니 네가 왜 이렇게 좋니 머리끝부터 발끝까지 눈을 떼질 못하잖니 어머님이 누구니 도대체 어떻게 너를 이렇게 키우셨니 너를 이렇게 키우셨니 Shake that booty that booty booty Shake that booty that booty booty 허리는 너무 가는데 힙이 커 맞는 바지를 찾기 너무 힘들어 oh Yeah Shake that booty that booty booty Shake that booty that booty booty 앞에서 바라보면 너무 착한데 뒤에서 바라보면 미치겠어 oh Yeah Shake that booty that booty booty Shake that booty that booty booty Ya, 머리부터 발끝까지 Got it from my mama 동양적인 눈마저도 엄마에게 받아 타고난 내 맵시 밀려드는 대시 이젠 모두 알아봐 Hey Jessi Sexy 머리 어깨 무릎 발 무릎 발 어디서 났냐고 물어봐 물어봐 Thin waist, Big booty 꽉 끼는 청바지 Chocolate 색깔 피부까지 whoa JYP? nah 저리 비켜봐 꿀벅지 눈이 전부 돌아가 uh 허스키한 목소리 침 닦아 Hey 거기 널 어쩌면 좋니 너를 어쩌면 널 어쩌면 널 어쩌면 좋니 네가 왜 이렇게 좋니 머리끝부터 발끝까지 눈을 떼질 못하잖니 어머님이 누구니 도대체 어떻게 너를 이렇게 키우셨니 Shake that booty that booty booty Shake that booty that booty booty God girl!"
이유 갓지(GOD G) 않은 이유 (박명수 & 아이유),레옹,가요 / 댄스,"레레 레레레옹 레레레 레레레옹 레레레옹 레레 레레레 레레  눈에 띄게 흰 피부에  입술은 피빨강 꼿꼿하게 핀 허리에  새침한 똑단발 못된 걸음으로  또 어디를 가나 누굴 찾는 것 같아  이 외로운 마틸다 티키타 리듬에 맞춰 스핀 기타 리프 테마는 스팅의  Shape Of My Heart  난 나잇값을 떼먹은 남자 Call Me 레옹  Call Me 레옹  Call Me 레옹 Call Me Call Call  Call Call Call Call Me  시끄러운 사람들 틈에  왜 당신은 조금도  춤을 추지 않나요 나 그대가 궁금해  알 수 없는 표정에 까만 선글라스 Mon Cher, Look At Me 춤추고 싶지 않아 Mon Cher, Look At Me 이유는 캐묻지 말아 Hey Baby, Look At Me 슬픈 눈을 들키고 싶지 않아 더는 다가오지 말아 (깜빡) 왜 그렇게 무뚝뚝하나요 상냥하게 좀 해줄래요,  ma 레옹? 나도 어디서 꿀리진 않아 내 Choice는 틀리지 않아  I'm 마, 마틸다  I'm 마, 마 마틸다 I'm 마, 마틸타  I'm 마 I'm I’m마 I’m마 잔잔히 잠들은 내 맘에  왜 돌을 던져 날  춤추고 싶게 만들어 흔들리는 눈빛을  감추어주오 나의 까만 선글라스 Ma Chere, What You Need 나처럼 춤을 춰요 Ma Chere, What You Need 아 튕기지 좀 마요 Hey Baby, What You Need 그래 앞에 나를 봐요 자 이제 춤을 춰요 (깜빡) Un Deux Trois Quatre 레레 레레레 레레 레 레레옹 레레 레레레 레레 레 레레옹 Mon Cher, Look At Me 춤추고 싶지 않아 Mon Cher, Look At Me 이유는 캐묻지 말아 Hey Baby, Look At Me 슬픈 눈을 들키고 싶지 않아 더는 다가오지 말아 (깜빡) Ma Chere, What You Need 나처럼 춤을 춰요 Ma Chere, What You Need 아 튕기지 좀 마요 Hey Baby, What You Need 그래 앞에 나를 봐요 자 이제 춤을 춰요 춰요 (깜빡)"
4minute (포미닛),미쳐,가요 / 랩/힙합,Yeah I'm the female monster You know that Everybody let's get crazy  right now Lego 주변 사람들이 나보고  미친 것 같대 너도 날 보고 지금 좀  미칠 것 같대 이해해 나도 내가 좀  미친 것 같아 난 좀 미친 것처럼  리듬에 맞춰 춤도 춰 한번 떴다 하면  여기저기 난리 나 이 밤이 다 가도록  우리 모두 난리 나 답은 정해져 있어  넌 그저 Ok 그저 아무렇게 그렇게  너도나도 난리 나 더는 널 외롭게 하지 마 눈앞에 세상에 이제 숨겨온 널 찾아봐  Tonight 미쳐 소리 질러 즐겨 봐 또 이 밤이 가잖아 다 뛰어 흔들어 날 보고 미쳐 (C.R.A.Z.Y) 따라 해 (C.R.A.Z.Y) 모두 다 미쳐 미친 것처럼 그래  미친 것처럼 좀 더 미친 것처럼  미쳐 미친 것처럼 미미 미친 것처럼  이미 미친 것처럼 지금 내게 미친 것처럼  다 같이 다 같이 미쳐 I'm the crazy girl around  here like gossip girl 못 믿겠으면 전화 걸어  Hey call my boyfriend 따라올 수 없는 Class  미쳐 어딜 가든 New York Paris Milano  Tokyo London 한번 작정하면  여기저기 난리 나 이 몸이 지나가면  우리 모두 난리 나 답은 정해져 있어  넌 그저 Ok 그저 아무렇게 그렇게  너도나도 난리 나 더는 널 외롭게 하지 마 눈앞에 세상에 이제 숨겨온 널 찾아봐  Tonight 미쳐 소리 질러 즐겨 봐 또 이 밤이 가잖아 다 뛰어 흔들어 날 보고 미쳐 (C.R.A.Z.Y) 따라 해 (C.R.A.Z.Y) 모두 다 미쳐 미친 것처럼 그래  미친 것처럼 좀 더 미친 것처럼  미쳐 미친 것처럼 미미 미친 것처럼  이미 미친 것처럼 지금 내게 미친 것처럼  다 같이 다 같이 미쳐 넌 내게 미쳐 나만 믿고 넌 내게 미쳐 봐 널 내게 맡겨 나만 믿고 널 내게 맡겨 봐 아무것도 묻지 말고  나와 놀아 오늘만은 따라와 오늘만 날 따라 미친 척해 날 보고 미쳐 (C.R.A.Z.Y) 따라 해 (C.R.A.Z.Y) 모두 다 미쳐 미친 것처럼 그래  미친 것처럼 좀 더 미친 것처럼  미쳐 미친 것처럼 미미 미친 것처럼  이미 미친 것처럼 지금 내게 미친 것처럼  다 같이 다 같이 미쳐
산이 (San E),Me You (Feat. 백예린 of 15&),가요 / 랩/힙합,"(San E) Oh boy I'm kinda  new to this 어떻게 말해야 되지 그냥 솔직히 말할게  baby I think I'm in love (백예린) 자꾸 기분이 up 돼 생각만 해도 찡해 장난 아냐 No playing 확신이 들어 There is something  going between me you me you me you me you  it's you and me you me you me you me you,  it's you and me you me you me you me you, it's you and me and you (San E) I sing this song like  I don't need no girlfriend 왜냐면 드디어  만났거든 girlfriend 이 노랠 듣고 꺼져  ex-girlfriends don't call me 그녀가 불안해하잖아  what you want from me 이유는 간단해 cause  she got something for me 너와는 달라 달라 달라 말 못했지만 넌 돈 쓰길 바라고 그녀는 마음 쓰기 바래  yeah, I said it, whoop 비교해서 미안 그녀 함께하다 너와 놀면 하품이 나, yawning so what (so what) 날 위해 그녈 위해 너는 block block block (San E) Oh boy I'm kinda  new to this 어떻게 말해야 되지 그냥 솔직히 말할게  baby I think I'm in love (백예린) 자꾸 기분이 up 돼 생각만 해도 찡해 장난 아냐 No playing 확신이 들어 There is something  going between me you me you me you me you  it's you and me you me you me you me you,  it's you and me you me you me you me you,  it's you and me and you (San E) I rap this song like  I don't need no girlfriend 왜냐면 지금 옆에 있는  soul friend 친구도 되 연인도 되니,  oh well 그녀 남자로서 한 마디  해줄게 ex-boyfriends Just don't call her 이제 그녀는 내가 있으니  밤에 전화하지 마 뭐 하냐 묻지 마 괜히 걸어봐라 뿌르르르  어 어 엄한 소리 들을라 니 lip service 느끼해하지 mayo 그녀 내 말투엔 빨개져  you gotta ketchup Mr. 껄떡, 전엔 신사답게 끝냈지만 딱 잘라 말할게 얄짤없어 I? you (San E) Boy I'm kinda new to this 어떻게 말해야 될까 그냥 솔직히 말할게  baby I think I'm in love 자꾸 기분이 up 돼 생각만 해도 찡해 장난 아냐 No playing 확신이 들어 There is something  going between me you me you me you me you  it's you and me you me you me you me you,  it's you and me you me you me you me you,  it's you and me and you once again me you me you me you me you  it's you and me you me you me you me you,  it's you and me you me you me you me you,  it's you and me and you"
로꼬 & 유주 (YUJU),우연히 봄,OST / 드라마,우연히 내게 오나봐 봄 향기가 보여 너도 같이 오나봐 저 멀리서 니 향기가 설레는 코끝에 나의 입술에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄 어 어느새 겨울 지나 봄이야  여전히 난 너 앞에선 돌이야 난 아직 이게 믿기지가 않지만  내 왼 손은 지금까지도  너의 향기가 미묘하게 흘렀던 분위기에  아직까지 난 가까스로 숨 쉬네 무대 위완 다르게  니 눈을 피해  고개를 돌렸던  내 모습에 한숨 쉬네 오랜만에 느껴지는 이  떨림이 날 단순하게 만들어  딱 너만 아는 거리지 다 고쳤다고 생각했던  버벅임이 또 도져서  준비했던 말을 잊어버리지 난 주워 담지 못할  말은 절대 안 해 원하는 걸 말해봐  널 위해서만 할게 너 빼곤 다 색칠할 수  있어 까맣게 천천히 갈게 조금 더 가깝게 우연히 내게 오나봐 봄 향기가 보여 너도 같이 오나봐 저 멀리서 니 향기가 설레는 코끝에 나의 입술에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄 우연히 봄 어 아직까지 향기가 짙네 발걸음이 가벼워  집에 가는 길엔 더 가까워질 너와 나를  상상하는 내 모습이  오글거려 몸서리치네 어 어 머릿속이  하얘지기 때문에 하루 종일 날씨  얘기만 반복하게 돼 오로지 난 너 하나 때문에  다른 것들에겐 무감각하게 돼 정적이 만드는 긴장감은  오히려 설레어 나를  미소 짓게 만들어 모른 척 하려 했던  니 옆의 남자들은 흐릿했던 내 눈 앞에  불을 키게 만들어 겨울은 유난히도 추웠고  다시 돌아온 그토록 기다렸던 봄 움직이지 못하도록  잡고 있고 싶어 날 더 느낄 수 있게  안고 있고 싶어 우연히 내게 오나봐 봄 향기가 보여 너도 같이 오나봐 저 멀리서 니 향기가 설레는 코끝에 나의 입술에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄 I love u so I love u 너무 쉬운 걸 그래도 나 참고 있을게 난 여자이니까 하루 더 기다려 바보야 내게 말해봐 니 마음도 보여 갖고 싶다고 해봐 더 이상은 감추지 마 어느새 내 앞에 이젠 내 앞에 괜찮은 느낌 이 떨림 나도 몰래 우연히 봄
TWICE (트와이스),OOH,가요 / 댄스,모두 나를 가지고 매일 가만 안 두죠 내가 너무 예쁘죠 나 때문에 다 힘들죠 어딜 걷고 있어도 빨간 바닥인거죠 Red carpet 같은 기분 모두 날 쳐다 보죠 oh 어떤 사람은 어머님이 누구냐고 신선하게 말 걸어도 아무 느낌이 안 들죠 하지만 나도 누군가 하고 사랑에 빠져보고 싶어 Baby 잘 들어요 내 Boy 단 한번도 느껴본 적 없는 걸 알게 해주는  (사람 기다리고 있는 걸) 얼마가 돼도 기다리고 싶어 I just wanna fall in love 어떻게 내가 움직일 수 없게  날 Ooh Ahh Ooh Ahh  하게 만들어줘 가짜 가짜 진심 없는 가짜  잘 가 잘 가 Huh (OOH-AHH하게) 어떻게 이제 더 할말이 없게  날 Ooh Ahh Ooh Ahh  하게 만들어줘 Bla La La La 말만하지 말고  느껴지게 Huh (OOH-AHH하게) 날 봐 거봐 또 두 번 봐 한번 지나치고  등을 돌려 쳐다봐 (TWICE) 어딜 가더라도 항상 민 낯 하지만 내가 제일 빛나 낮은 신발 신어도 가치는 High 머릿속엔 늘  영화 속 같은 La La La 장면들이 지나가네  생각만해도 떨리네 yeah 이제는 나도  누군가 하고 사랑에  빠져 보고 싶어 Baby 잘 들어요 내 Boy 단 한번도 느껴본 적 없는 걸 알게 해주는  (사람 기다리고 있는 걸) 얼마가 돼도 기다리고 싶어 I just wanna fall in love 어떻게 내가 움직일 수 없게  날 Ooh Ahh Ooh Ahh  하게 만들어줘 가짜 가짜 진심 없는 가짜  잘 가 잘 가 Huh (OOH-AHH하게) 어떻게 이제 더 할말이 없게  날 Ooh Ahh Ooh Ahh  하게 만들어줘 Bla La La La 말만하지 말고  느껴지게 Huh (OOH-AHH하게) 아무하고 만나 시작하기 싫어  쉽지 않은 여자 그게 나인걸  Let me see How you gon treat me I ain't no easy Better think about it TWICE Let me see How you gon treat me I ain't no easy Better think about it TWICE 어떻게 내가 움직일 수 없게  날 Ooh Ahh Ooh Ahh  하게 만들어줘 가짜 가짜 진심 없는 가짜  잘 가 잘 가 Huh (OOH-AHH하게) 어떻게 이제 더 할말이 없게  날 Ooh Ahh Ooh Ahh  하게 만들어줘 Bla La La La 말만하지 말고  느껴지게 Huh (OOH-AHH하게) (OOH-AHH하게)
지민 & 아이언,Puss (Prod.by 라이머),가요 / 랩/힙합,
매드 클라운 (Mad Clown),화 (Feat. 진실 of Mad Soul Child) (Fire),가요 / 랩/힙합,"[Song] Trouble Trouble Our destiny 누가 더 아파 누가 더 사랑해 내게 미친 널 보고 있으면 난 웃지 이렇게 웃지 [Rap] 들어봐 uh 바로 어제 3년약정한 핸드폰  정신차리니 박살 나있고  바닥엔 할부 안 끝난 모니터  눈앞에 넌 계속  악쓰고 있고 uh  젠장 뭐 답도 없지  내가 널 밀치면  니가 날 밀쳐 서로 씩씩거리면서  더럽게 질척이는데  나 완전 미쳐 헤어지고 싶은 눈친데  날 시키지 말고  니가 직접 말하시던가 어찌됐든 나쁜 쪽  되기 싫다 이건데  알아서 그럼 꺼지시던가  어 그래 잘가 잘 지내  니가 어디 어떻게 잘사나  두고볼건데 나  널 너무 사랑해서  딱 한마디만 할게  너랑 꼭 똑같은 사람 만나  쓰레기 새꺄 [Song] Trouble Trouble Our destiny 누가 더 아파, 누가 더 사랑해 내게 미친 널 보고 있으면 난 웃지 이렇게 웃지 라리라라라 라리라라라 [Rap] 내가 미친 건지  니가 미친 건지  미친 너를 못 떠난  내가 미친 거지 [Song] 라리라라라 라리라라라 날 놓지마 날 갖지마 [Rap] 사랑했던 건 진심  넌 내 맘에 별  근데 별은 별인데 서울에 별  밤만 되면 아주 그냥  보이질 않어  내 속타서 그냥 보이질 않어 반짝 별님 어딜 가셨나  땅 속에 꺼졌나 했더니  진짜 땅 속이데  참 신명나보여  클럽에서 아주 그냥 흥에 겨워  번쩍번쩍 빛나데  니가 뭐 그리 잘났어  날 감정이 없는 사람 취급하고 또 그게 당연하다는 듯 굴어 huh  넌 알긴 할까 나도 사람이란걸 찌르면 아파 간지럽히면 웃어  화를 낼 줄도 알고 슬프면 울어  엮였어 진심 더럽게 엮였어  답이 있을 리 있나 없지 [Song] Trouble Trouble Our destiny 누가 더 아파 누가 더 사랑해 내게 미친 널 보고 있으면 난 웃지 이렇게 웃지 [Song] 넌 망가질수록 더 내가 필요해 [Rap] 니 속을 헤고 또 헤고 또 해도  널 진짜 모르겠어  못해먹겠다고 [Song] 넌 나의 곁에서 가장 행복해  외로움보단 괴로움을 택해 [Rap] 겪을 만큼 겪었어  난 더는 볼 일없어  너와 나 사이? 일없어 [Song] 마지막 그 말 후회할 텐데 [Rap] 야 됐고 볼장 다 봤고  넌 그냥 머리꼭지부터  발끝까지 최악 별 같은 소리하고 앉았네  불꺼 그만 난 자러 갈래  수고 [Song] Hurt me Love me  Our destiny 마음껏 욕해 하지만 가지마 Hurt me Love me  But don't you say goodbye 이렇게 비틀대지만 라리라라라 라리라라라 내 말끝엔 또 칼끝이 라리라라라 라리라라라 니 손끝엔 또 눈물이  [Rap] 내가 미친 건지  니가 미친 건지  미친 너를 못 떠난  내가 미친 거지"
iKON,취향저격,가요 / 랩/힙합,너는 내 취향저격 내 취향저격 말하지 않아도 느낌이 와 머리부터 발끝까지 다 너는 내 취향저격  난 너를 보면 가지고 싶어서 안달이 나 자기 전까지도 생각이 나 pow 가는 발목 아래 운동화와 청색 스키니진의  완벽한 조화 살짝 큰 듯한  가디건 아래 뚝 떨어진  긴 생머리가 참 고와 수줍은 눈웃음도  멍 때리는 듯한 모습도 예쁘게만 보이고  가슴이 막 떨려 왜 이제야 나타났니  you're my 취향저격 oh oh 너의 가녀린 미소 oh oh 나를 보는 눈빛도 흠잡을 데가 없어 한시도 지루할  틈이 없어 perfect oh oh 애교 섞인 목소리 oh oh 가까워지는 우리 왜 이제야 나타났어 드디어 사랑이 찾아왔어 너는 내 취향저격  내 취향저격 말하지 않아도 느낌이 와 머리부터 발끝까지 다 너는 내 취향저격  난 너를 보면 가지고 싶어서 안달이 나 자기 전까지도 생각이 나 pow A girl 잠시 말 좀 물을게 그 까칠한 말투는  어디서 또 배웠대 you work and walk  and spit words like a boss wonder woman  현실판은 너의 여성스러움 Oh 느낌적인 느낌 또 뭔가 매혹적인  눈빛에 매료돼 섬세한 그 손길 또 뭔가 어정쩡한 몸짓  I like it babe oh oh 너의 가녀린 미소 oh oh 나를 보는 눈빛도  흠잡을 데가 없어 한시도 지루할  틈이 없어 perfect oh oh 애교 섞인 목소리 oh oh 가까워지는 우리 왜 이제야 나타났어 드디어 사랑이 찾아왔어 너는 내 취향저격  내 취향저격 말하지 않아도 느낌이 와 머리부터 발끝까지 다 너는 내 취향저격  난 너를 보면 가지고 싶어서 안달이 나 자기 전까지도 생각이 나 pow 난 니가 정말 좋아 또 가끔 하품하는  모습까지도 내 스타일이야 오 마음이 잘 맞아 내 가슴이 벅차올라 니가 날 부를 때마다 입가에 웃음이 끊이질 않아 Oh girl you know  that I love you 너는 내 취향저격  내 취향저격 말하지 않아도 느낌이 와 머리부터 발끝까지 다 너는 내 취향저격  난 너를 보면 가지고 싶어서 안달이 나 자기 전까지도 생각이 나 pow 난 니가 정말 좋아 또 가끔 하품하는  모습까지도 다 내 스타일이야 난 니가 정말 좋아 또 가끔 하품하는  모습까지도 다 내 스타일이야
노을,목소리,가요 / 발라드,너무 보고싶어서 가만히 너를  떠올려보기도 했어 기억 속 네가 흐려진만큼  잊혀진거라 믿었어  지워질거라고 하지만 지날수록  너의 그 모습보다  아련한 향기보다 그리워 단 한 번만  다시 들을 수 없을까  귓가에 맴도는 네 목소리 이렇게 너를 부르면  언젠간 들을 수가 있을까  사랑한 날의 네 목소리 사랑한다는 말이 익숙해질 즈음  그 때 우린 헤어졌어 한동안 너의 따스히 건네던  그 말을 잊은 채 너와 다시 만나고  너를 안고 싶었던  지난날의 내가 참 미워 단 한 번만  다시 들을 수 없을까  귓가에 맴도는 네 목소리 이렇게 너를 부르면  언젠간 들을 수가 있을까  사랑한 날의 네 목소리 그렇게 떠나가던 날  끝없이 나를 소리쳐 부르던 그 날의 널 잊을 수 없어  너의 목소리로 가득한  그 거리도 단 한 번만  그 때처럼 다시 한 번만 귓가에 맴도는 네 목소리 이렇게 너를 부르면  언젠간 들을 수 가 있을까 사랑한 날의 네 목소리 사랑했던 네 목소리
BIGBANG (빅뱅),IF YOU,가요 / 락,그녀가 떠나가요 나는 아무것도 할 수 없어요 사랑이 떠나가요 나는 바보처럼 멍하니 서있네요 멀어지는 그 뒷모습만을 바라보다 작은 점이 되어 사라진다 시간이 지나면 또 무뎌질까 옛 생각이 나 니 생각이 나 IF YOU IF YOU 아직 너무 늦지 않았다면 우리 다시 돌아갈 수는 없을까 IF YOU IF YOU 너도 나와 같이 힘들다면 우리 조금 쉽게 갈 수는 없을까 있을 때 잘할 걸 그랬어 그대는 어떤가요 정말 아무렇지 않은 건가요 이별이 지나봐요 그댈 잊어야 하지만 쉽지가 않네요 멀어지는 그 뒷모습만을 바라보다 작은 점이 되어 사라진다 누군갈 만나면 위로가 될까 옛 생각이 나 니 생각이 나 IF YOU IF YOU 아직 너무 늦지 않았다면 우리 다시 돌아갈 수는 없을까 IF YOU IF YOU 너도 나와 같이 힘들다면 우리 조금 쉽게 갈 수는 없을까 있을 때 잘할 걸 그랬어 오늘같이 가녀린 비가 내리는 날이면  너의 그림자가 떠오르고 서랍 속에 몰래 넣어둔 우리의 추억을  다시 꺼내 홀로 회상하고 헤어짐이란 슬픔의 무게를 난 왜 몰랐을까 IF YOU IF YOU 아직 너무 늦지 않았다면 우리 다시 돌아갈 수는 없을까 IF YOU IF YOU 너도 나와 같이 힘들다면 우리 조금 쉽게 갈 수는 없을까 있을 때 잘할 걸 그랬어
임창정,또 다시 사랑,가요 / 발라드,아픔이 좀 더 작아질까 의미 없는 만남을 하다가 어느 날 그대가 흘린 눈물 왠지 나와 같다 느껴서 이렇게 그대를 지키는가 봐요 행복하고 싶었던 그대를 몰랐던 누군갈 또 알아가면서 분명 행복할 걸 알겠지만 내가 그대를 만났다는 건 어쩌면 흘러가는 흔한 인연이란 것일지 모르지만 오늘도 다시 또 다시 사랑해요 사랑 언제나 이번이 마지막이라며 처음인 듯 찾아오니까 어느 날 그대가 숨긴 눈물 왠지 나와 같다 느껴서 이렇게 그대를 지키는 가 봐요 행복하고 싶었던 그대를 몰랐던 누군갈 또 알아가는 게 혹시 두렵기도 하겠지만 내가 그대를 만났다는 건 어쩌면 흘러가는 흔한 인연이란 것일지 모르지만 오늘도 다시 또 다시 사랑해요 사랑 언제나 이번이 마지막이라며 처음인 듯 찾아오니까 절대 우리 작은 다툼조차 하지 마요 이별 후엔 서운함만 가슴속에 남으니 사소한 그 표현이 그 말들이 언제나 나에겐 참 고마울 거예요 내가 그대를 만났다는 건 어쩌면 흘러가는 흔한 인연이란 것일지 모르지만 오늘도 다시 또 다시 사랑해요 사랑 언제나 이번이 마지막이라며 처음인 듯 찾아오니까 사랑 언제나 이번이 마지막이라며
황태지 (황광희 & 태양 & 지드래곤),맙소사,가요 / 댄스,"Give Me That, Drop That Give Me That 맙소사 I Love It Love It Love It 맙소사 You Love It Love It Love It (Yeah I'm Ready) 맙소사 Since 88 태어날 때부터 Everyday가 우린 Birthday I Go Hard 신이 날 땐 아무도 날 심판하지 못해 절대 양, 옆, 앞, 뒤 다 줄 맞춰 내가 지휘할 테니까 교양 없이 듣는 예능 Symphony 오늘은 토요일 무한대를 그려봐 Let's Go Boom Boom Boom 무슨 말이 필요해 Shut Up And Drop Drop Drop The Bass Drop Drop Drop The Bass 쿵쿵쿵 내 심장을 뛰게 해 더 크게 That that Boom bo-boom That that Boom bo-boom 조금 더 조금 더 위로 지금 나를 저 하늘 위로 조금 더 조금 더 위로 맙소사 I Love It Love It Love It 맙소사 You Love It Love It Love It 맙소사 우린 88 세 친구 궁합은 찹쌀떡과 메밀묵 Yeah 팔팔해 Like 이팔청춘 팔색조 또는 팔방미남들 신토불이 불이 (얼쑤) Shake That Booty Booty (좋다) Everybody Say 황태지 우리가 누구? 황태지 이리와 우리와 노래 하자 맙소사 광희와 지용이 영배 오구오구오구 Whoo Boom Boom Boom 무슨 말이 필요해 Shut Up And Drop Drop Drop The Bass  Drop Drop Drop The Bass 쿵쿵쿵 내 심장을 뛰게 해 더 크게 That that Boom bo-boom  That that Boom bo-boom 조금 더 조금 더 위로 지금 나를 저 하늘 위로 조금 더 조금 더 위로 맙소사 Let's Go 여기 있는 사람 모두 위로 흔들어봐 두 손 머리 위로 I Go 어머님 맙소사 맙소사 DJ Let The Bass Drum Go 여기 있는 사람 모두 위로 흔들어봐 두 손 머리 위로 I Go 어머님 맙소사 맙소사 DJ Let The Bass Drum Go Woo- Let The Bass Drum Go Woo- Let The Bass Drum Go Let The Bass Drum Go Let The Bass Drum Go"
허각,사월의 눈,가요 / 발라드,어느새 그 차가웠던 긴 겨울에 하얀 눈도  스르륵 봄바람에  다 녹아내려요 다시 또 누군가를  사랑할 수 있으려나요 눈부신 따스한 봄날엔 그토록 욕해대고  할퀴어대던 두 사람이 나였는지 그녀였는지  조차 잊어버린 듯 그 겨울 그 겨울이  그때 우리가 참 그리워 미운데 미운데 그리워 큰맘 먹고 살짝  열어본 내 창가에 눈부신 봄날 햇살 아래로 차디찬 눈이 내려요 작은 내 방에  내 텅 빈 가슴에 그 아팠던 상처가  또다시 덧나려는 듯 이른 봄날에 눈이 내려요 주르륵 흘러내린  내 눈물마저도 차네요 내게도 봄날이 올까요 누군갈 또다시  사랑하고 싶어서 미친 듯 거리를 걸어봐도 차디찬 눈이 내려요 내 두 눈가에  이 못난 가슴에 그 아팠던 상처가  또다시 덧나려는 듯 이른 봄날에 눈이 내려요 하얗게 추억들이 내려요 주르륵 흘러내린  내 눈물마저 차가운데 내게도 봄날이 올까요 따스한 봄날이 올까요
다비치,두사랑 (Feat. 매드클라운),가요 / 발라드,미쳤다고 하겠지 내 지금 사랑이 어떤 건지 듣는 사람들은  사랑이란 반드시  한 사람과 하는  거라면서 나를 욕하겠지 하지만 난  한 사람을 가볍게  사랑하지 않아 이해 못하겠지  두 사람을 미친 듯이  온 마음 다 바쳐서 사랑해 나도  내 맘을 모르겠어 내 두사랑은  한 사랑보다 깊어 난 두 사람 중 한 사람도 곁에서 보낼 수 없는데  이러면 안 되는데 누구에게도 털어  놀 수 없어 없어 정말이야 나 두 사람을  사랑해 목숨 바쳐 나 두 사람을  사랑함 안 되는걸 너무 잘 알면서  너무 잘 알면서 둘 중 누구도  보낼 수가 없어  없어 정말이야 이해할 수 있어 처음 봤을 땐 그냥  지나치는 사람쯤 두 번짼 풍선처럼  네 맘에서 점점 커지고 그러다 너도 모르는  사이 어느새       이젠 한 가슴에 살게 된 전혀 다른 두사랑 익숙함과 새로움 둘 사이    둘 다 상처주기 싫어 꽤나 힘들었겠어 괜찮아 맘 가는 데로 해 그 맘이 진심이라면 넌 좀 더 이기적이어도 돼 내 두사랑은  한 사랑보다 깊어 난 두 사람 중  한 사람도 곁에서 보낼 수 없는데  이러면 안 되는데 누구에게도 털어  놀 수 없어 없어 정말이야 나 두 사람을  사랑해 목숨 바쳐 나 두 사람을  사랑함 안 되는걸 너무 잘 알면서  너무 잘 알면서 둘 중 누구도  보낼 수가 없어  없어 정말이야 스스로가 밉고  이해할 수 없어도 사람마음이란 게 가끔씩 그럴 수 있지 나쁜 건 나쁜 쪽이  되기 싫은 너의 맘 상처주지 않는  법 따위 없다고 애매하고 못된  헷갈리고 서툰 그런 맘이라 생각되면  잠시 두면 돼 괜찮아 맘 가는 데로 해 그 맘이 진심이라면 넌 좀 더 이기적이어도 돼 이 두 사람은  너무 날 사랑해서 난 두 사람 중  한 사람도 아프게 할 수가 없는데  이러면 안 되는데 누구에게도 털어  놀 수 없어 없어 정말이야 나는 사랑이 아닌  사랑들을 해요 이걸 어쩌지 이걸 어쩌지 어쩌면  좋지 어떡하죠 그 어떤 사랑보다  정말 깊은 걸요 대체 누가 날 대체  누가 날 이해해줄지
